Temperature_K,Pressure_atm,Equivalence_Ratio,Ignition_Delay_s
1.225,1.0,1.1,6.199069612703763e-05
1.225,1.0,1.2,5.818731001301808e-05
1.225,1.1,0.8,5.9905159596622196e-05
1.225,1.1,0.9,5.866678193207461e-05
1.225,1.1,1.0,5.7335975706090425e-05
1.225,1.1,1.1,5.408623347954602e-05
1.225,1.1,1.2,5.364849471405731e-05
1.225,1.2,0.8,5.36512945173834e-05
1.225,1.2,0.9,5.280615052414733e-05
1.225,1.2,1.0,4.9305802686108014e-05
1.225,1.2,1.1,4.8873979362328124e-05
1.225,1.2,1.2,4.738963427701957e-05
1.25,0.8,0.8,8.7306362941758e-05
1.25,0.8,0.9,8.559477894585889e-05
1.25,0.8,1.0,8.045051069621214e-05
1.25,0.8,1.1,7.962841065688258e-05
1.25,0.8,1.2,7.206540981951442e-05
1.25,0.9,0.8,7.486128801764248e-05
1.25,0.9,0.9,6.997484486559273e-05
1.25,0.9,1.0,6.743415179936376e-05
1.25,0.9,1.1,6.580890876262821e-05
1.25,0.9,1.2,6.291831324175676e-05
1.25,1.0,0.8,6.338532794401895e-05
1.25,1.0,0.9,6.148764949877368e-05
1.25,1.0,1.0,5.86462399103464e-05
1.25,1.0,1.1,5.506577101328454e-05
1.25,1.0,1.2,5.556773028353095e-05
1.25,1.1,0.8,5.6154378872370954e-05
1.25,1.1,0.9,5.381720174545114e-05
1.25,1.1,1.0,5.290752836063823e-05
1.25,1.1,1.1,5.060831779989179e-05
1.25,1.1,1.2,4.86049545535063e-05
1.25,1.2,0.8,4.8532750429023876e-05
1.25,1.2,0.9,4.82060454660257e-05
1.25,1.2,1.0,4.750353631216231e-05
1.25,1.2,1.1,4.427653590817652e-05
1.25,1.2,1.2,4.336041174691352e-05
1.275,0.8,0.8,8.569323356616511e-05
1.275,0.8,0.9,8.202208672156674e-05
1.275,0.8,1.0,7.660739499749127e-05
1.275,0.8,1.1,7.365857386490821e-05
1.275,0.8,1.2,7.072699120254352e-05
1.275,0.9,0.8,7.123658652054565e-05
1.275,0.9,0.9,6.699582554648898e-05
1.275,0.9,1.0,6.572017119696669e-05
1.275,0.9,1.1,6.057755994554824e-05
1.275,0.9,1.2,6.031638019191343e-05
1.275,1.0,0.8,6.069557545267675e-05
1.275,1.0,0.9,5.6504049191830154e-05
1.275,1.0,1.0,5.563118378904945e-05
1.275,1.0,1.1,5.3383598462106633e-05
1.275,1.0,1.2,5.0004098664706706e-05
1.275,1.1,0.8,5.1538424595591786e-05
1.275,1.1,0.9,5.226668066904645e-05
1.275,1.1,1.0,5.042286927055238e-05
1.275,1.1,1.1,4.5930299778184436e-05
1.275,1.1,1.2,4.4646530205496016e-05
1.275,1.2,0.8,4.5907125237432444e-05
1.275,1.2,0.9,4.6171755833122926e-05
1.275,1.2,1.0,4.426884607639708e-05
1.275,1.2,1.1,4.1162325555641917e-05
1.275,1.2,1.2,4.076834591349487e-05
1.3,0.8,0.8,7.834396533077227e-05
1.3,0.8,0.9,7.807957319743136e-05
1.3,0.8,1.0,7.369707101092325e-05
1.3,0.8,1.1,7.113677423815656e-05
1.3,0.8,1.2,6.653334972781291e-05
1.3,0.9,0.8,6.880369029318314e-05
1.3,0.9,0.9,6.637860857379358e-05
1.3,0.9,1.0,6.341086645890138e-05
1.3,0.9,1.1,6.055574411252351e-05
1.3,0.9,1.2,5.7643681136527264e-05
1.3,1.0,0.8,5.708484536932019e-05
1.3,1.0,0.9,5.5074536164266056e-05
1.3,1.0,1.0,5.2860705910891114e-05
1.3,1.0,1.1,4.9733940650013535e-05
1.3,1.0,1.2,4.663469836792548e-05
1.3,1.1,0.8,5.038101356452394e-05
1.3,1.1,0.9,4.9129132500540294e-05
1.3,1.1,1.0,4.558716168831085e-05
1.3,1.1,1.1,4.354447510054625e-05
1.3,1.1,1.2,4.095387869458097e-05
1.3,1.2,0.8,4.371099492651981e-05
1.3,1.2,0.9,4.308663998680651e-05
1.3,1.2,1.0,4.1894333425068665e-05
1.3,1.2,1.1,4.040897856449161e-05
1.3,1.2,1.2,3.793573421932187e-05
1.325,0.8,0.8,8.038423479703347e-05
1.325,0.8,0.9,7.305546535893786e-05
1.325,0.8,1.0,6.875454484323643e-05
1.325,0.8,1.1,6.558256183047148e-05
1.325,0.8,1.2,6.224049141277455e-05
1.325,0.9,0.8,6.54185380965869e-05
1.325,0.9,0.9,6.238518716735808e-05
1.325,0.9,1.0,6.109109839239902e-05
1.325,0.9,1.1,5.4023817353823744e-05
1.325,0.9,1.2,5.3091240682037916e-05
1.325,1.0,0.8,5.403204714841722e-05
1.325,1.0,0.9,5.291638111526349e-05
1.325,1.0,1.0,5.016561358523069e-05
1.325,1.0,1.1,4.754357107950244e-05
1.325,1.0,1.2,4.560301058272737e-05
1.325,1.1,0.8,4.859971845948542e-05
1.325,1.1,0.9,4.7715663109167436e-05
1.325,1.1,1.0,4.336762769242777e-05
1.325,1.1,1.1,4.123023082259781e-05
1.325,1.1,1.2,4.063630482426307e-05
1.325,1.2,0.8,4.251467890551394e-05
1.325,1.2,0.9,4.169777840140431e-05
1.325,1.2,1.0,3.934888380724721e-05
1.325,1.2,1.1,3.6294169101242044e-05
1.325,1.2,1.2,3.449418932784443e-05
1.35,0.8,0.8,7.793998104976116e-05
1.35,0.8,0.9,7.047927061842472e-05
1.35,0.8,1.0,6.725042343889336e-05
1.35,0.8,1.1,6.537330622237864e-05
1.35,0.8,1.2,6.241512432295364e-05
1.35,0.9,0.8,6.235951136637186e-05
1.35,0.9,0.9,6.389579479337563e-05
1.35,0.9,1.0,5.571942771529002e-05
1.35,0.9,1.1,5.3125643951414284e-05
1.35,0.9,1.2,5.0911338099265e-05
1.35,1.0,0.8,5.567274584166773e-05
1.35,1.0,0.9,5.1842744429373515e-05
1.35,1.0,1.0,4.867298098114877e-05
1.35,1.0,1.1,4.487145873951083e-05
1.35,1.0,1.2,4.446947087155749e-05
1.35,1.1,0.8,4.78139405287679e-05
1.35,1.1,0.9,4.45534485692107e-05
1.35,1.1,1.0,4.1648979555147626e-05
1.35,1.1,1.1,3.982221623756049e-05
1.35,1.1,1.2,3.8412461334681236e-05
1.35,1.2,0.8,4.0892247859617644e-05
1.35,1.2,0.9,3.8119694137119303e-05
1.35,1.2,1.0,3.857005388356786e-05
1.35,1.2,1.1,3.404557100490927e-05
1.35,1.2,1.2,3.303486764294554e-05
1.375,0.8,0.8,7.477793946389498e-05
1.375,0.8,0.9,7.081031276309889e-05
1.375,0.8,1.0,6.489034016797937e-05
1.375,0.8,1.1,6.026536376307014e-05
1.375,0.8,1.2,5.9092847254266924e-05
1.375,0.9,0.8,6.311114373605114e-05
1.375,0.9,0.9,6.046549643030744e-05
1.375,0.9,1.0,5.631714365310292e-05
1.375,0.9,1.1,5.104010932401993e-05
1.375,0.9,1.2,5.037499450465425e-05
1.375,1.0,0.8,5.174806446327098e-05
1.375,1.0,0.9,4.864560303401959e-05
1.375,1.0,1.0,4.578860251100874e-05
1.375,1.0,1.1,4.558980609655995e-05
1.375,1.0,1.2,4.28304585401547e-05
1.375,1.1,0.8,4.510154251847932e-05
1.375,1.1,0.9,4.272529052866026e-05
1.375,1.1,1.0,4.008520910151877e-05
1.375,1.1,1.1,3.773860955084267e-05
1.375,1.1,1.2,3.589368170124493e-05
1.375,1.2,0.8,3.943654557741465e-05
1.375,1.2,0.9,3.810674757705266e-05
1.375,1.2,1.0,3.510445460166396e-05
1.375,1.2,1.1,3.347714015326394e-05
1.375,1.2,1.2,3.208735720700123e-05
1.4,0.8,0.8,7.29165574392326e-05
